DDR5 Desktop Memory | Newegg.com,G.SKILL Trident Z5 Neo RGB Series AMD EXPO 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3038F16GX2-TZ5NR
DDR5 Desktop Memory | Newegg.com,G.SKILL Trident Z5 RGB Series 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 Desktop Memory Model F5-6400J3239G16GX2-TZ5RK
DDR5 Desktop Memory | Newegg.com,G.SKILL Trident Z5 RGB Series 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6800 (PC5 54400) Desktop Memory Model F5-6800J3445G16GX2-TZ5RK
DDR5 Desktop Memory | Newegg.com,G.SKILL Ripjaws S5 Series 32GB (2 x 16GB) DDR5 5600 Desktop Memory Model F5-5600J3636C16GX2-RS5K
DDR5 Desktop Memory | Newegg.com,G.SKILL Ripjaws S5 Series 32GB (2 x 16GB) DDR5 5600 Desktop Memory Model F5-5600J3636C16GX2-RS5W
DDR5 Desktop Memory | Newegg.com,OLOy Blade RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 5200 (PC5 41600) Desktop Memory Model ND5U1652361BRKDE
DDR5 Desktop Memory | Newegg.com,OLOy Blade RGB 16GB (2 x 8GB) DDR5 5600 (PC5 44800) Desktop Memory Model MD5U0856360BRKDE
DDR5 Desktop Memory | Newegg.com,G.SKILL Trident Z5 RGB Series 32GB (2 x 16GB) 288-Pin PC RAM DDR5 7600 (PC5 60800) Desktop Memory Model F5-7600J3646G16GX2-TZ5RS
DDR5 Desktop Memory | Newegg.com,G.SKILL Flare X5 Series AMD EXPO 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 Desktop Memory Model F5-6000J3636F16GX2-FX5
DDR5 Desktop Memory | Newegg.com,CORSAIR Dominator Platinum RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 5600 (PC5 44800) Desktop Memory Model CMT32GX5M2B5600C36
DDR5 Desktop Memory | Newegg.com,G.SKILL Ripjaws S5 Series 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model F5-6400J3239G16GX2-RS5K
DDR5 Desktop Memory | Newegg.com,CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2B6000C40
DDR5 Desktop Memory | Newegg.com,G.SKILL Trident Z5 RGB Series 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model F5-6400J3239G32GX2-TZ5RK
